Year,Host_City,Host_Country,Total_Males,Total_Females,Total_Athletes,Summer,Winter,Discipline,Sport,Ath_Name,Gender,NOC,Home_Adv,Gold,Silver,Bronze,Total_Medals,NOC_Gold,NOC_Silver,NOC_Bronze,NOC_Total_Medals,NOC_Rating,NOC_Rank
1960,Rome,ITA,4727,611,5338,True,False,Boxing,Boxing,"LLOYD, Jim",Men,GBR,False,0,0,1,1,2,7,13,22,33,9
1960,Rome,ITA,4727,611,5338,True,False,Boxing,Boxing,"MCTAGGART, Richard",Men,GBR,False,0,0,1,1,2,7,13,22,33,9
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"THOMPSON, Donald James",Men,GBR,False,1,0,0,1,2,7,13,22,33,9
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"JONES, David",Men,GBR,False,0,0,1,1,2,7,13,22,33,9
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"VICKERS, Stanley Frank",Men,GBR,False,0,0,1,1,2,7,13,22,33,9
1960,Rome,ITA,4727,611,5338,True,False,Diving,Aquatics,"PHELPS, Brian",Men,GBR,False,0,0,1,1,2,7,13,22,33,9
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"RADFORD, Peter",Men,GBR,False,0,0,2,2,2,7,13,22,33,9
1960,Rome,ITA,4727,611,5338,True,False,Boxing,Boxing,"QUARTEY, Ike",Men,GHA,False,0,1,0,1,0,1,0,1,2,34
1960,Rome,ITA,4727,611,5338,True,False,Sailing,Sailing,"ESKITZOGLOU, Odysseus",Men,GRE,False,1,0,0,1,1,0,0,1,3,30
1960,Rome,ITA,4727,611,5338,True,False,Fencing,Fencing,"JUHASZ-NAGY, Katalin",Women,HUN,False,0,1,0,1,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Canoe Sprint,Canoe,"BÁNFALVI, Klára",Women,HUN,False,0,0,1,1,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Water Polo,Aquatics,"BOROS, Ottó",Men,HUN,False,0,0,1,1,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Fencing,Fencing,"HORVÁTH, Zoltán",Men,HUN,False,1,1,0,2,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Fencing,Fencing,"KÁRPÁTI, Rudolf",Men,HUN,False,2,0,0,2,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Fencing,Fencing,"DELNEKY, Gábor",Men,HUN,False,1,0,0,1,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"KULCSÁR, Gergely",Men,HUN,False,0,0,1,1,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"ZSIVÓTZKY, Gyula",Men,HUN,False,0,1,0,1,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Football,Football,"ALBERT, Florian",Men,HUN,False,0,0,1,1,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Modern Pentathlon,Modern Pentathlon,"BALCZO, Andras",Men,HUN,False,1,0,0,1,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Canoe Sprint,Canoe,"KEMECSEY, Imre",Men,HUN,False,0,1,0,1,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Canoe Sprint,Canoe,"SZÖLLÖSI, Imre",Men,HUN,False,0,2,0,2,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Modern Pentathlon,Modern Pentathlon,"NAGY, Imre",Men,HUN,False,1,1,0,2,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Modern Pentathlon,Modern Pentathlon,"NÉMETH, Ferenc",Men,HUN,False,2,0,0,2,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Canoe Sprint,Canoe,"FARKAS, Imre",Men,HUN,False,0,0,1,1,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Canoe Sprint,Canoe,"PARTI, János",Men,HUN,False,1,0,0,1,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Weightlifting,Weightlifting,"VERES, Gyözö",Men,HUN,False,0,0,1,1,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Wrestling Greco-Roman,Wrestling,"POLYÁK, Imre",Men,HUN,False,0,1,0,1,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"RÓZSAVÖLGYI, István",Men,HUN,False,0,0,1,1,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Boxing,Boxing,"TÃ?RÃ?K, Gyula",Men,HUN,False,1,0,0,1,10,8,7,25,53,6
1960,Rome,ITA,4727,611,5338,True,False,Hockey,Hockey,"ANTIC, Joseph",Men,IND,False,0,1,0,1,0,1,0,1,2,35
1960,Rome,ITA,4727,611,5338,True,False,Wrestling Freestyle,Wrestling,"TAKHTI, Gholam Reza",Men,IRI,False,0,1,0,1,0,1,3,4,5,22
1960,Rome,ITA,4727,611,5338,True,False,Weightlifting,Weightlifting,"ELM-KHAH, Esmail",Men,IRI,False,0,0,1,1,0,1,3,4,5,22
1960,Rome,ITA,4727,611,5338,True,False,Wrestling Greco-Roman,Wrestling,"PAZIRAYE, Mohammad",Men,IRI,False,0,0,1,1,0,1,3,4,5,22
