Year,Host_City,Host_Country,Summer,Winter,Discipline,Sport,Event,Ath_Name,Gender,NOC,Home_Adv,Medal,Gold,Silver,Bronze,Total_Medals,Age
2004,Athens,GRC,True,False,Swimming,Aquatics,1500m freestyle,"DAVIES, David",Men,GBR,False,Bronze,0,0,1,1,19.0
2004,Athens,GRC,True,False,Swimming,Aquatics,1500m freestyle,"HACKETT, Grant",Men,AUS,False,Gold,1,2,0,3,24.0
2004,Athens,GRC,True,False,Swimming,Aquatics,1500m freestyle,"JENSEN, Larsen",Men,USA,False,Silver,0,1,0,1,19.0
2004,Athens,GRC,True,False,Athletics,Athletics,1500m,"EL GUERROUJ, Hicham",Men,MAR,False,Gold,2,0,0,2,30.0
2004,Athens,GRC,True,False,Athletics,Athletics,1500m,"LAGAT, Bernard",Men,KEN,False,Silver,0,1,0,1,30.0
2004,Athens,GRC,True,False,Athletics,Athletics,1500m,"SILVA, Rui",Men,POR,False,Bronze,0,0,1,1,27.0
2004,Athens,GRC,True,False,Athletics,Athletics,110m hurdles,"GARCIA, Anier",Men,CUB,False,Bronze,0,0,1,1,28.0
2004,Athens,GRC,True,False,Athletics,Athletics,110m hurdles,"LIU, Xiang",Men,CHN,False,Gold,1,0,0,1,21.0
2004,Athens,GRC,True,False,Athletics,Athletics,110m hurdles,"TRAMMELL, Terrence",Men,USA,False,Silver,0,1,0,1,26.0
2004,Athens,GRC,True,False,Shooting,Shooting,10m runni 30+30,"BLINOV, Alexander",Men,RUS,False,Silver,0,1,0,1,23.0
2004,Athens,GRC,True,False,Shooting,Shooting,10m runni 30+30,"KURZER, Manfred",Men,GER,False,Gold,1,0,0,1,34.0
2004,Athens,GRC,True,False,Shooting,Shooting,10m runni 30+30,"LYKINE, Dmitri",Men,RUS,False,Bronze,0,0,1,1,30.0
2004,Athens,GRC,True,False,Diving,Aquatics,10m platform,"HELM, Mathew",Men,AUS,False,Silver,0,1,1,2,24.0
2004,Athens,GRC,True,False,Diving,Aquatics,10m platform,"HU, Jia",Men,CHN,False,Gold,1,0,0,1,21.0
2004,Athens,GRC,True,False,Diving,Aquatics,10m platform,"TIAN, Liang",Men,CHN,False,Bronze,1,0,1,2,25.0
2004,Athens,GRC,True,False,Shooting,Shooting,10m air rifle,"GONCI, Jozef",Men,SVK,False,Bronze,0,0,1,1,30.0
2004,Athens,GRC,True,False,Shooting,Shooting,10m air rifle,"LI, Jie",Men,CHN,False,Silver,0,1,0,1,25.0
2004,Athens,GRC,True,False,Shooting,Shooting,10m air pistol,"ISAKOV, Vladimir",Men,RUS,False,Bronze,0,0,1,1,34.0
2004,Athens,GRC,True,False,Shooting,Shooting,10m air pistol,"NESTRUEV, Mikhail",Men,RUS,False,Silver,1,1,0,2,36.0
2004,Athens,GRC,True,False,Shooting,Shooting,10m air pistol,"WANG, Yifu",Men,CHN,False,Gold,1,0,0,1,44.0
2004,Athens,GRC,True,False,Weightlifting,Weightlifting,105kg,"BERESTOV, Dmitry",Men,RUS,False,Gold,1,0,0,1,24.0
2004,Athens,GRC,True,False,Weightlifting,Weightlifting,105kg,"PISAREVSKIY, Gleb",Men,RUS,False,Bronze,0,0,1,1,28.0
2004,Athens,GRC,True,False,Weightlifting,Weightlifting,105kg,"RAZORONOV, Igor",Men,UKR,False,Silver,0,1,0,1,34.0
2004,Athens,GRC,True,False,Swimming,Aquatics,100m freestyle,"SCHOEMAN, Roland",Men,RSA,False,Silver,1,1,1,3,24.0
