Country,Host_City,Year,Gender,Gold,Silver,Bronze,Total_Medals,Ath_Rating,Gold_Share,Medal_Share,Rating_Share,Males,Females,Summer,Winter,Population_Density,Population,NOC_Males_Sent,NOC_Females_Sent,NOC_Total_Sent,Female_Representation,Male_Representation,Population_Representation,norm_Gold_Share,norm_Medal_Share,norm_Rating_Share,norm_Population,norm_Population_Density,norm_Male_Representation,norm_Female_Representation,norm_Population_Representation,norm_Males,norm_Females
Netherlands,Lake Placid,1980,F,1,1,0,2,5,0.013888888888888888,0.009174311926605505,0.011467889908256881,7026168.0,7123632.0,False,True,428.99813724253687,14149800.0,25.0,4.0,29.0,5.615113189451673e-07,3.5581272750665796e-06,2.0494989328471075e-06,0.032407407407407406,0.036547558716858775,0.04374162474297916,0.01024623033971785,0.05247060144116416,0.004316699903326266,0.0023437482452771286,0.004385954185842295,0.0098749142300004,0.010640929019328716
Netherlands,Lake Placid,1980,M,0,1,1,2,3,0.0,0.009174311926605505,0.006880733944954129,7026168.0,7123632.0,False,True,428.99813724253687,14149800.0,25.0,4.0,29.0,5.615113189451673e-07,3.5581272750665796e-06,2.0494989328471075e-06,0.0,0.036547558716858775,0.02585860230956507,0.01024623033971785,0.05247060144116416,0.004316699903326266,0.0023437482452771286,0.004385954185842295,0.0098749142300004,0.010640929019328716
Netherlands,Lillehammer,1994,M,0,1,3,4,5,0.0,0.011661807580174927,0.007288629737609329,7616824.0,7766014.0,False,True,466.3817755377257,15382838.0,13.0,8.0,21.0,1.0301294847009031e-06,1.7067481144371985e-06,1.365157716671007e-06,0.0,0.04701660495139672,0.02744878360466457,0.011140616865155143,0.05705125075202314,0.00206337178103063,0.00429976046914157,0.0029069231681917106,0.010706400127378432,0.011602177159955766
Netherlands,London,2012,Men,2,22,3,27,53,0.0031545741324921135,0.013888888888888888,0.013784135240572171,8323328.0,8431634.0,True,False,507.9822674221183,16754962.0,94.0,79.0,173.0,9.369476900918612e-06,1.1293559499277212e-05,1.0325299454573518e-05,0.007360672975814932,0.05638965336478606,0.05277150460109968,0.012135889692780183,0.062148594755219375,0.013731555239064283,0.039108196584434284,0.022272010700042522,0.011700969068422237,0.012598198199406087
Netherlands,London,2012,Women,19,7,16,42,87,0.02996845425867508,0.021604938271604937,0.022626788036410925,8323328.0,8431634.0,True,False,507.9822674221183,16754962.0,94.0,79.0,173.0,9.369476900918612e-06,1.1293559499277212e-05,1.0325299454573518e-05,0.06992639327024186,0.08886395241319557,0.0872445767146147,0.012135889692780183,0.062148594755219375,0.013731555239064283,0.039108196584434284,0.022272010700042522,0.011700969068422237,0.012598198199406087
Netherlands,Los Angeles,1984,Men,1,0,1,2,4,0.0020161290322580645,0.0013568521031207597,0.0013596193065941536,7142438.0,7281773.0,True,False,437.31781722662566,14424211.0,87.0,53.0,140.0,7.278447158404965e-06,1.2180714764342372e-05,9.705903497945226e-06,0.004704301075268817,0.00364645667422133,0.004334543017682238,0.01044527489538586,0.0534900189757755,0.01481131888236595,0.030380238439182323,0.02093334248832859,0.010038591336959685,0.010877568187622507
Netherlands,Los Angeles,1984,Women,19,7,13,39,84,0.038306451612903226,0.026458616010854818,0.028552005438477225,7142438.0,7281773.0,True,False,437.31781722662566,14424211.0,87.0,53.0,140.0,7.278447158404965e-06,1.2180714764342372e-05,9.705903497945226e-06,0.08938172043010753,0.10929147621081113,0.11034403018244827,0.01044527489538586,0.0534900189757755,0.01481131888236595,0.030380238439182323,0.02093334248832859,0.010038591336959685,0.010877568187622507
Netherlands,Mexico,1968,Men,5,7,0,12,29,0.01466275659824047,0.011650485436893204,0.014139444173573866,6349786.0,6379935.0,True,False,385.94373041436654,12729721.0,82.0,25.0,107.0,3.918535220186413e-06,1.2913821032708818e-05,8.405525934150482e-06,0.034213098729227766,0.04696895379617949,0.05415667608218594,0.009216173259030581,0.04719510799107153,0.0157035882814553,0.016355966009058087,0.01812290420688741,0.00892274902006374,0.009528075050132949
Netherlands,Mexico,1968,Women,1,0,1,2,4,0.002932551319648094,0.001941747572815534,0.0019502681618722574,6349786.0,6379935.0,True,False,385.94373041436654,12729721.0,82.0,25.0,107.0,3.918535220186413e-06,1.2913821032708818e-05,8.405525934150482e-06,0.006842619745845552,0.006108088197404005,0.006637186924649731,0.009216173259030581,0.04719510799107153,0.0157035882814553,0.016355966009058087,0.01812290420688741,0.00892274902006374,0.009528075050132949
Netherlands,Montréal,1976,Men,0,2,11,13,15,0.0,0.009969325153374233,0.005789270551910459,6861110.0,6912927.0,True,False,417.6056350838726,13774037.0,72.0,36.0,108.0,5.207634913546751e-06,1.0493928824927745e-05,7.84083852831236e-06,0.0,0.039893506363508094,0.021603533482780123,0.009973669912579437,0.05107466836611188,0.012758318462784841,0.021736668129144137,0.01690247473578522,0.009642556649192918,0.010325634086608275
Netherlands,Montréal,1976,Women,0,0,2,2,2,0.0,0.0015337423312883436,0.0007719027402547279,6861110.0,6912927.0,True,False,417.6056350838726,13774037.0,72.0,36.0,108.0,5.207634913546751e-06,1.0493928824927745e-05,7.84083852831236e-06,0.0,0.004390929121627245,0.002043330635888762,0.009973669912579437,0.05107466836611188,0.012758318462784841,0.021736668129144137,0.01690247473578522,0.009642556649192918,0.010325634086608275
Netherlands,Moscow,1980,Men,0,1,1,2,3,0.0,0.0014566642388929353,0.0010980966325036604,7026168.0,7123632.0,True,False,428.99813724253687,14149800.0,58.0,18.0,76.0,2.526800935253253e-06,8.254855278154464e-06,5.371100651599316e-06,0.0,0.0040665329315074305,0.0033149971629039708,0.01024623033971785,0.05247060144116416,0.010033124457080855,0.010546867103747077,0.011564758931473483,0.0098749142300004,0.010640929019328716
