Country,Host_City,Year,Education_Index,Gold,Silver,Bronze,Total_Medals,Ath_Rating,Gold_Share,Medal_Share,Rating_Share,norm_Gold_Share,norm_Medal_Share,norm_Rating_Share
Czech Republic,Atlanta,1996,0.736997778,4,5,4,13,26,0.0065040650406504065,0.007000538502961767,0.007034632034632035,0.013959944477493557,0.020675039266932916,0.019951841340535008
Czech Republic,Beijing,2008,0.851435556,3,4,1,8,18,0.0045045045045045045,0.00392349190779794,0.0044598612487611496,0.00966820479015601,0.010902833080359473,0.012382596751367991
Czech Republic,London,2012,0.866222222,4,4,7,15,27,0.006309148264984227,0.007716049382716049,0.007022106631989597,0.013541586519966146,0.02294738699695588,0.019915019485673723
Czech Republic,Nagano,1998,0.759837778,22,1,1,24,69,0.1476510067114094,0.053691275167785234,0.0773542600896861,0.31690947781961043,0.1689573260573827,0.22667566588009389
Czech Republic,Salt Lake City,2002,0.8096422224,1,2,0,3,7,0.006134969325153374,0.006237006237006237,0.007261410788381743,0.013167739039353584,0.0182501833207324,0.020618519657757493
Czech Republic,Sydney,2000,0.7826777779999999,2,3,4,9,16,0.0029895366218236174,0.0044598612487611496,0.003977131493910017,0.006416566407816545,0.012606256031538386,0.01096348029836654
Czech Republic,Turin,2006,0.8477600000000001,1,2,25,28,32,0.005681818181818182,0.05273069679849341,0.030160226201696512,0.012195121951219513,0.16590668330863925,0.08793586519263057
Czech Republic,Vancouver,2010,0.8634444440000001,2,0,7,9,13,0.011363636363636364,0.017013232514177693,0.012287334593572778,0.024390243902439025,0.052473748624943695,0.035393600521951986
Czechoslovakia,Albertville,1992,0.6985844444,0,0,28,28,28,0.0,0.08641975308641975,0.043209876543209874,0.0,0.2728977197115725,0.12629888988595747
Czechoslovakia,Barcelone,1992,0.6985844444,4,3,1,8,19,0.0071174377224199285,0.004672897196261682,0.005604719764011799,0.015276451696901311,0.013282824013121518,0.015748222215768968
Czechoslovakia,Calgary,1988,0.6912288888,0,1,5,6,7,0.0,0.022727272727272728,0.013257575757575758,0.0,0.0706206233614193,0.03824589041164508
Czechoslovakia,Seoul,1988,0.6912288888,3,4,3,10,20,0.005928853754940711,0.00646830530401035,0.00652954619653934,0.012725344644750796,0.018984752039021797,0.01846700305200561
Denmark,Athens,2004,0.8521470948000001,19,1,9,29,68,0.028875379939209727,0.014543630892678034,0.017137096774193547,0.061976425235376977,0.04463069019290007,0.04965080599664989
Denmark,Atlanta,1996,0.7615468108000001,22,1,1,24,69,0.03577235772357724,0.012924071082390954,0.018668831168831168,0.07677969462621456,0.03948722813987566,0.0541537591691321
Denmark,Barcelone,1992,0.7271997776000001,3,2,9,14,22,0.005338078291814947,0.008177570093457943,0.006489675516224189,0.011457338772675983,0.02441310271014403,0.0183497922568164
Denmark,Beijing,2008,0.866619775,6,6,6,18,36,0.009009009009009009,0.008827856792545365,0.008919722497522299,0.01933640958031202,0.026478308909444432,0.0254935815469341
Denmark,London,2012,0.872826055,3,5,8,16,27,0.00473186119873817,0.00823045267489712,0.007022106631989597,0.01015618988997461,0.024581049302280177,0.019915019485673723
Denmark,Los Angeles,1984,0.6975326665999999,0,3,10,13,16,0.0,0.008819538670284939,0.005438477226376614,0.0,0.026451891888024683,0.015259506701599848
Denmark,Moscow,1980,0.672218889,4,2,2,8,18,0.00881057268722467,0.005826656955571741,0.006588579795021962,0.018910497475018807,0.01694697985511291,0.018640548498592813
Denmark,Nagano,1998,0.7826315443999999,0,5,0,5,10,0.0,0.011185682326621925,0.011210762331838564,0.0,0.0339663844254855,0.032228721220192026
Denmark,Seoul,1988,0.7083424443999999,3,1,3,7,14,0.005928853754940711,0.004527813712807244,0.004570682337577538,0.012725344644750796,0.012822062152442708,0.012708385723144493
Denmark,Sydney,2000,0.803716278,18,3,4,25,64,0.026905829596412557,0.012388503468780971,0.01590852597564007,0.05774909767034891,0.03778635134611063,0.04603908532606051
